13230081_40_0x0100_spectro::lyser_RIV1000FV20T,results of s::canpoint: ORIGINAL                            ,,,,,,,,,,,,,,,,,,
Date/Time,Status,Well,Turbid. [FTUeq]1750.00-0.00_1,[Turbid._0.0_1.0_0.0_0.0],NO3,[NO3-Neq_0.0_1.0_0.0_0.0],TOCeq [mg/l]218.75-0.00_1,[TOCeq_0.0_1.0_0.0_0.0],DOC,[DOCeq_0.0_1.0_0.0_0.0],SAC254T [Abs/m]NaN-NaN_1,[SAC254T_0.0_1.0_0.0_0.0],SAC436T [Abs/m]NaN-NaN_1,[SAC436T_0.0_1.0_0.0_0.0],Temp. [°C]NaN-NaN_1,[Temp._0.0_1.0_0.0_0.0],analogIN []NaN-NaN_1,[analogIN_0.0_1.0_0.0_0.0],
2015.04.30  16:53:20,Ok,,4.241,0,0.121,0,2.451,0,1.247,0,NaN,NaN,NaN,NaN,27.2,0,NaN,NaN,
2015.04.30  16:56:40,Ok,,3.228,0,0.112,0,1.618,0,0.743,0,NaN,NaN,NaN,NaN,27.2,0,NaN,NaN,
2015.04.30  17:00:00,Ok,,3.188,0,0.041,0,3.795,0,2.521,0,NaN,NaN,NaN,NaN,27.2,0,NaN,NaN,
2015.04.30  17:03:20,Ok,,4.907,0,0.038,0,8.107,0,5.5,0,NaN,NaN,NaN,NaN,27.3,0,NaN,NaN,
2015.04.30  17:10:00,Ok,,3.734,0,0.057,0,6.731,0,4.403,0,NaN,NaN,NaN,NaN,27.3,0,NaN,NaN,
2015.04.30  17:16:40,Ok,,4.262,0,0.061,0,4.753,0,3.194,0,NaN,NaN,NaN,NaN,27.3,0,NaN,NaN,
2015.04.30  17:20:00,Ok,,2.272,0,0.014,0,4.045,0,2.751,0,NaN,NaN,NaN,NaN,27.3,0,NaN,NaN,
2015.04.30  17:23:20,Ok,,3.436,0,0.084,0,2.634,0,1.355,0,NaN,NaN,NaN,NaN,27.2,0,NaN,NaN,
2015.04.30  17:26:40,Ok,,1.594,0,0,1,3.03,0,1.95,0,NaN,NaN,NaN,NaN,27.3,0,NaN,NaN,
2015.04.30  17:30:00,Ok,,0,1,0.067,0,0.657,0,0.767,0,NaN,NaN,NaN,NaN,27.4,0,NaN,NaN,
2015.04.30  17:53:20,Ok,,87.67,0,0,1,11.602,0,0,1,NaN,NaN,NaN,NaN,27.3,0,NaN,NaN,
2015.04.30  17:56:40,Ok,,90.186,0,0,1,11.896,0,0,1,NaN,NaN,NaN,NaN,27.4,0,NaN,NaN,
2015.04.30  18:00:00,Ok,1,0,1,0,1,2.725,0,2.127,0,NaN,NaN,NaN,NaN,27.4,0,NaN,NaN,
2015.04.30  18:03:20,Ok,2,0,1,0,1,1.558,0,1.706,0,NaN,NaN,NaN,NaN,27.3,0,NaN,NaN,
2015.04.30  18:06:40,Ok,3,0,1,0,1,3.795,0,3.144,0,NaN,NaN,NaN,NaN,27.4,0,NaN,NaN,
2015.04.30  18:10:00,Ok,4,0,1,0,1,8.81,0,6.86,0,NaN,NaN,NaN,NaN,27.3,0,NaN,NaN,
2015.04.30  18:13:20,Ok,5,0,1,0,1,7.275,0,5.553,0,NaN,NaN,NaN,NaN,27.4,0,NaN,NaN,
2015.04.30  18:16:40,Ok,6,0,1,0,1,4.805,0,3.673,0,NaN,NaN,NaN,NaN,27.3,0,NaN,NaN,
2015.04.30  18:20:00,Ok,7,0,1,0,1,3.772,0,3.126,0,NaN,NaN,NaN,NaN,27.4,0,NaN,NaN,
2015.04.30  18:23:20,Ok,8,0,1,0.007,0,2.765,0,2.081,0,NaN,NaN,NaN,NaN,27.3,0,NaN,NaN,
2015.04.30  18:26:40,Ok,9,0,1,0,1,3.32,0,2.703,0,NaN,NaN,NaN,NaN,27.4,0,NaN,NaN,
2015.04.30  18:30:00,Ok,10,0,1,0,1,0.886,0,1.548,0,NaN,NaN,NaN,NaN,27.4,0,NaN,NaN,
2015.04.30  18:33:20,Ok,,93.994,0,0,1,12.712,0,0,1,NaN,NaN,NaN,NaN,27.4,0,NaN,NaN,
2015.04.30  18:36:40,Ok,,96.308,0,0,1,12.918,0,0,1,NaN,NaN,NaN,NaN,27.4,0,NaN,NaN,
2015.04.30  18:40:00,Ok,,92.016,0,0,1,12.503,0,0,1,NaN,NaN,NaN,NaN,27.4,0,NaN,NaN,
2015.04.30  18:43:20,Ok,1,0,1,0,1,2.27,0,2.216,0,NaN,NaN,NaN,NaN,27.4,0,NaN,NaN,
2015.04.30  18:46:40,Ok,2,0,1,0.071,0,1.442,0,1.481,0,NaN,NaN,NaN,NaN,27.4,0,NaN,NaN,
2015.04.30  18:50:00,Ok,3,0,1,0,1,3.601,0,3.192,0,NaN,NaN,NaN,NaN,27.4,0,NaN,NaN,
2015.04.30  18:53:20,Ok,4,0,1,0,1,9.23,0,6.995,0,NaN,NaN,NaN,NaN,27.4,0,NaN,NaN,
2015.04.30  18:56:40,Ok,5,0,1,0,1,7.117,0,5.487,0,NaN,NaN,NaN,NaN,27.4,0,NaN,NaN,
2015.04.30  19:00:00,Ok,6,0,1,0,1,4.657,0,3.683,0,NaN,NaN,NaN,NaN,27.4,0,NaN,NaN,
2015.04.30  19:03:20,Ok,7,0,1,0.058,0,2.994,0,2.849,0,NaN,NaN,NaN,NaN,27.4,0,NaN,NaN,
2015.04.30  19:06:40,Ok,8,0,1,0.051,0,2.37,0,1.916,0,NaN,NaN,NaN,NaN,27.4,0,NaN,NaN,
2015.04.30  19:10:00,Ok,9,0,1,0,1,3.132,0,2.68,0,NaN,NaN,NaN,NaN,27.4,0,NaN,NaN,
2015.04.30  19:13:20,Ok,10,0,1,0.06,0,0.738,0,1.27,0,NaN,NaN,NaN,NaN,27.4,0,NaN,NaN,
2015.04.30  19:16:40,Ok,,69.1,0,0,1,9.483,0,0,1,NaN,NaN,NaN,NaN,27.4,0,NaN,NaN,
2015.04.30  19:20:00,Ok,,76.707,0,0,1,10.316,0,0,1,NaN,NaN,NaN,NaN,27.4,0,NaN,NaN,
2015.04.30  19:23:20,Ok,,79.96,0,0,1,10.596,0,0,1,NaN,NaN,NaN,NaN,27.4,0,NaN,NaN,
2015.04.30  19:26:40,Ok,1,0,1,0.011,0,2.39,0,2.095,0,NaN,NaN,NaN,NaN,27.4,0,NaN,NaN,
2015.04.30  19:30:00,Ok,2,0,1,0.037,0,1.34,0,1.571,0,NaN,NaN,NaN,NaN,27.5,0,NaN,NaN,
2015.04.30  19:33:20,Ok,3,0,1,0,1,3.793,0,3.198,0,NaN,NaN,NaN,NaN,27.5,0,NaN,NaN,
2015.04.30  19:36:40,Ok,4,0,1,0.011,0,9.528,0,7.244,0,NaN,NaN,NaN,NaN,27.4,0,NaN,NaN,
2015.04.30  19:40:00,Ok,5,0,1,0.013,0,7.301,0,5.544,0,NaN,NaN,NaN,NaN,27.4,0,NaN,NaN,
2015.04.30  19:43:20,Ok,6,0,1,0.003,0,4.666,0,3.793,0,NaN,NaN,NaN,NaN,27.5,0,NaN,NaN,
