,Date.Time,Mesocosm,NO3,Date.Time.1,Mesocosm.1,TN,Date.Time.2,Mesocosm.2,DOC,Run,Depth
11,2/3/15 13:24,12,4.193841469,2/3/2015 13:24,12,8.482363135,2/3/2015 13:24,12,4.131635396,1,26.9
12,2/3/15 13:30,11,4.026304171,2/3/2015 13:30,11,8.593523762,2/3/2015 13:30,11,4.067962078,1,36.2
13,2/3/15 13:36,10,3.128936966,2/3/2015 13:36,10,6.091334531,2/3/2015 13:36,10,4.430906115,1,32.8
14,2/3/15 13:42,9,3.030951676,2/3/2015 13:42,9,5.542944557,2/3/2015 13:42,9,4.46233512,1,27.8
15,2/3/15 13:48,8,3.124450693,2/3/2015 13:48,8,6.204125658,2/3/2015 13:48,8,4.516926185,1,28.5
16,2/3/15 13:50,12,4.239694039,2/3/2015 13:50,12,8.541955273,2/3/2015 13:50,12,4.062260238,1,26.9
17,2/3/15 13:56,11,4.051470244,2/3/2015 13:56,11,8.410446457,2/3/2015 13:56,11,4.059457781,1,36.2
18,2/3/15 14:02,10,3.111359363,2/3/2015 14:02,10,6.090666373,2/3/2015 14:02,10,4.410920093,1,32.8
19,2/3/15 14:08,9,3.065059229,2/3/2015 14:08,9,5.837651474,2/3/2015 14:08,9,4.536223972,1,27.8
20,2/3/15 14:14,8,3.109623374,2/3/2015 14:14,8,6.265880807,2/3/2015 14:14,8,4.517067601,1,28.5
21,2/3/15 14:20,12,4.210553502,2/3/2015 14:20,12,8.837150027,2/3/2015 14:20,12,4.059948945,1,26.9
22,2/3/15 14:26,11,4.084389653,2/3/2015 14:26,11,8.642493253,2/3/2015 14:26,11,4.029061269,1,36.2
23,2/3/15 14:32,10,3.152858169,2/3/2015 14:32,10,6.311337035,2/3/2015 14:32,10,4.385218093,1,32.8
24,2/3/15 14:38,9,3.044594733,2/3/2015 14:38,9,5.859832269,2/3/2015 14:38,9,4.547681282,1,27.8
25,2/3/15 14:44,8,3.12589398,2/3/2015 14:44,8,6.401763028,2/3/2015 14:44,8,4.52241863,1,28.5
26,2/3/15 14:50,12,4.178276157,2/3/2015 14:50,12,8.439666188,2/3/2015 14:50,12,4.207492975,1,26.9
27,2/3/15 14:56,11,4.074152105,2/3/2015 14:56,11,8.497892353,2/3/2015 14:56,11,4.094775504,1,36.2
28,2/3/15 15:02,10,3.134133678,2/3/2015 15:02,10,5.989648532,2/3/2015 15:02,10,4.403397708,1,32.8
29,2/3/15 15:08,9,3.037833703,2/3/2015 15:08,9,5.356073942,2/3/2015 15:08,9,4.533303837,1,27.8
30,2/3/15 15:14,8,3.114672577,2/3/2015 15:14,8,5.880599885,2/3/2015 15:14,8,4.589980792,1,28.5
31,2/3/15 15:20,12,4.195028378,2/3/2015 15:20,12,8.360565345,2/3/2015 15:20,12,4.280434456,1,26.9
32,2/3/15 15:26,11,4.052107138,2/3/2015 15:26,11,8.152319125,2/3/2015 15:26,11,4.17287384,1,36.2
33,2/3/15 15:32,10,3.128618634,2/3/2015 15:32,10,5.808220862,2/3/2015 15:32,10,4.491634427,1,32.8
34,2/3/15 15:38,9,3.018682759,2/3/2015 15:38,9,5.442578097,2/3/2015 15:38,9,4.563183068,1,27.8
35,2/3/15 15:44,8,3.124595762,2/3/2015 15:44,8,6.008918574,2/3/2015 15:44,8,4.606741286,1,28.5
36,2/3/15 15:50,12,4.19248564,2/3/2015 15:50,12,8.440673664,2/3/2015 15:50,12,4.377874535,1,26.9
37,2/3/15 15:56,11,4.077655966,2/3/2015 15:56,11,8.310064072,2/3/2015 15:56,11,4.173011323,1,36.2
38,2/3/15 16:02,10,3.076570275,2/3/2015 16:02,10,5.691032746,2/3/2015 16:02,10,4.585674853,1,32.8
39,2/3/15 16:08,9,3.023153141,2/3/2015 16:08,9,5.582356554,2/3/2015 16:08,9,4.696032278,1,27.8
40,2/3/15 16:14,8,3.101897133,2/3/2015 16:14,8,5.813883889,2/3/2015 16:14,8,4.651408398,1,28.5
41,2/3/15 16:20,12,4.174455636,2/3/2015 16:20,12,8.488586637,2/3/2015 16:20,12,4.31506409,1,26.9
42,2/3/15 16:26,11,4.043241284,2/3/2015 16:26,11,8.085489786,2/3/2015 16:26,11,4.20331793,1,36.2
43,2/3/15 16:32,10,3.130243774,2/3/2015 16:32,10,5.809903447,2/3/2015 16:32,10,4.537702683,1,32.8
44,2/3/15 16:38,9,3.013040581,2/3/2015 16:38,9,5.510164334,2/3/2015 16:38,9,4.660807096,1,27.8
45,2/3/15 16:44,8,3.088165409,2/3/2015 16:44,8,5.709137575,2/3/2015 16:44,8,4.670287501,1,28.5
46,2/3/15 16:50,12,4.151348367,2/3/2015 16:50,12,8.414323427,2/3/2015 16:50,12,4.329239381,1,26.9
47,2/3/15 16:56,11,4.037809629,2/3/2015 16:56,11,7.978084972,2/3/2015 16:56,11,4.209204282,1,36.2
48,2/3/15 17:02,10,3.132635702,2/3/2015 17:02,10,5.815093526,2/3/2015 17:02,10,4.518674781,1,32.8
49,2/3/15 17:08,9,2.999626712,2/3/2015 17:08,9,5.547145847,2/3/2015 17:08,9,4.716086919,1,27.8
50,2/3/15 17:14,8,3.074458566,2/3/2015 17:14,8,5.834845379,2/3/2015 17:14,8,4.66171507,1,28.5
51,2/3/15 17:20,12,4.098978682,2/3/2015 17:20,12,8.107459966,2/3/2015 17:20,12,4.451308566,1,26.9
52,2/3/15 17:26,11,4.031905506,2/3/2015 17:26,11,8.038624464,2/3/2015 17:26,11,4.177768226,1,36.2
53,2/3/15 17:32,10,3.123156696,2/3/2015 17:32,10,5.744611471,2/3/2015 17:32,10,4.531057016,1,32.8
54,2/3/15 17:38,9,2.983122377,2/3/2015 17:38,9,5.526014645,2/3/2015 17:38,9,4.713793783,1,27.8
55,2/3/15 17:44,8,3.068991286,2/3/2015 17:44,8,5.621888934,2/3/2015 17:44,8,4.658146896,1,28.5
56,2/3/15 17:50,12,4.180264484,2/3/2015 17:50,12,8.410420811,2/3/2015 17:50,12,4.41716233,1,26.9
57,2/3/15 17:56,11,3.998346801,2/3/2015 17:56,11,7.82474213,2/3/2015 17:56,11,4.260519767,1,36.2
58,2/3/15 18:02,10,3.054527261,2/3/2015 18:02,10,5.553996069,2/3/2015 18:02,10,4.585296055,1,32.8
59,2/3/15 18:08,9,2.964933024,2/3/2015 18:08,9,5.472378263,2/3/2015 18:08,9,4.730948618,1,27.8
60,2/3/15 18:14,8,3.104519802,2/3/2015 18:14,8,5.713435784,2/3/2015 18:14,8,4.64228088,1,28.5
61,2/3/15 18:20,12,4.075362583,2/3/2015 18:20,12,7.642721128,2/3/2015 18:20,12,4.475641841,1,26.9
62,2/3/15 18:26,11,4.020279117,2/3/2015 18:26,11,7.726448955,2/3/2015 18:26,11,4.216130407,1,36.2
63,2/3/15 18:32,10,3.08942242,2/3/2015 18:32,10,5.380488387,2/3/2015 18:32,10,4.617334901,1,32.8
64,2/3/15 18:38,9,2.9292277,2/3/2015 18:38,9,5.104546738,2/3/2015 18:38,9,4.78974123,1,27.8
65,2/3/15 18:44,8,3.074478689,2/3/2015 18:44,8,5.69581689,2/3/2015 18:44,8,4.633076729,1,28.5
66,2/3/15 18:50,12,4.031466859,2/3/2015 18:50,12,7.534312898,2/3/2015 18:50,12,4.560837238,1,26.9
67,2/3/15 18:56,11,3.995786668,2/3/2015 18:56,11,7.84259708,2/3/2015 18:56,11,4.223448315,1,36.2
68,2/3/15 19:02,10,3.120919762,2/3/2015 19:02,10,5.502493121,2/3/2015 19:02,10,4.550277259,1,32.8
69,2/3/15 19:08,9,2.932109302,2/3/2015 19:08,9,5.160464657,2/3/2015 19:08,9,4.775128171,1,27.8
70,2/3/15 19:14,8,3.057253233,2/3/2015 19:14,8,5.442291583,2/3/2015 19:14,8,4.659994648,1,28.5
71,2/4/15 9:20,12,3.866642566,2/4/2015 9:20,12,7.575268372,2/4/2015 9:20,12,4.490664425,1,26.9
72,2/4/15 9:26,11,3.905584793,2/4/2015 9:26,11,7.473761113,2/4/2015 9:26,11,3.970730244,1,36.2
73,2/4/15 9:32,10,3.008523944,2/4/2015 9:32,10,5.52014966,2/4/2015 9:32,10,4.549373228,1,32.8
74,2/4/15 9:38,9,2.712624335,2/4/2015 9:38,9,5.094543639,2/4/2015 9:38,9,4.717480694,1,27.8
75,2/4/15 9:44,8,3.048698776,2/4/2015 9:44,8,5.843336735,2/4/2015 9:44,8,4.654003529,1,28.5
76,2/4/15 9:50,12,3.845475251,2/4/2015 9:50,12,7.676717345,2/4/2015 9:50,12,4.407531623,1,26.9
77,2/4/15 9:56,11,3.950237954,2/4/2015 9:56,11,7.933193981,2/4/2015 9:56,11,4.077218654,1,36.2
78,2/4/15 10:02,10,2.976653422,2/4/2015 10:02,10,5.653960692,2/4/2015 10:02,10,4.472885122,1,32.8
79,2/4/15 10:08,9,2.649860732,2/4/2015 10:08,9,5.337310237,2/4/2015 10:08,9,4.62256783,1,27.8
80,2/4/15 10:14,8,3.0727211,2/4/2015 10:14,8,6.190049468,2/4/2015 10:14,8,4.509157695,1,28.5
81,2/4/15 10:20,12,3.852583644,2/4/2015 10:20,12,8.379177173,2/4/2015 10:20,12,4.308009841,1,26.9
82,2/4/15 10:26,11,3.967427167,2/4/2015 10:26,11,8.571458857,2/4/2015 10:26,11,3.99643787,1,36.2
83,2/4/15 10:32,10,3.040906149,2/4/2015 10:32,10,6.431846147,2/4/2015 10:32,10,4.362522564,1,32.8
84,2/4/15 10:38,9,2.688527508,2/4/2015 10:38,9,6.011712139,2/4/2015 10:38,9,4.549001072,1,27.8
85,2/4/15 10:44,8,3.09301666,2/4/2015 10:44,8,6.886761865,2/4/2015 10:44,8,4.427264579,1,28.5
86,2/4/15 10:50,12,3.846376992,2/4/2015 10:50,12,8.587309529,2/4/2015 10:50,12,4.283730472,1,26.9
87,2/4/15 10:56,11,3.946058311,2/4/2015 10:56,11,9.05520262,2/4/2015 10:56,11,3.934689339,1,36.2
88,2/4/15 11:02,10,2.975723846,2/4/2015 11:02,10,6.606743608,2/4/2015 11:02,10,4.32337016,1,32.8
89,2/4/15 11:08,9,2.650288294,2/4/2015 11:08,9,6.237113185,2/4/2015 11:08,9,4.497334279,1,27.8
90,2/4/15 11:14,8,3.097111249,2/4/2015 11:14,8,6.944659987,2/4/2015 11:14,8,4.374559566,1,28.5
91,2/4/15 11:20,12,3.84234703,2/4/2015 11:20,12,8.86210585,2/4/2015 11:20,12,4.179156518,1,26.9
92,2/4/15 11:26,11,3.974985598,2/4/2015 11:26,11,8.991973542,2/4/2015 11:26,11,3.951101747,1,36.2
93,2/4/15 11:32,10,3.056948803,2/4/2015 11:32,10,6.919409767,2/4/2015 11:32,10,4.258908715,1,32.8
94,2/4/15 11:38,9,2.665318258,2/4/2015 11:38,9,6.070166871,2/4/2015 11:38,9,4.509081992,1,27.8
95,2/4/15 11:44,8,3.098949889,2/4/2015 11:44,8,7.146642359,2/4/2015 11:44,8,4.344014232,1,28.5
96,2/4/15 11:50,12,3.858729373,2/4/2015 11:50,12,8.89331747,2/4/2015 11:50,12,4.243705308,1,26.9
97,2/4/15 11:56,11,3.942249,2/4/2015 11:56,11,8.844780038,2/4/2015 11:56,11,3.938024941,1,36.2
98,2/4/15 12:02,10,3.002472284,2/4/2015 12:02,10,6.899739577,2/4/2015 12:02,10,4.26110687,1,32.8
99,2/4/15 12:08,9,2.636942277,2/4/2015 12:08,9,6.282477987,2/4/2015 12:08,9,4.482241429,1,27.8
