,Date.Time,Mesocosm,NO3,Date.Time.1,Mesocosm.1,TN,Date.Time.2,Mesocosm.2,DOC,Run,Depth
12,11/6/14 13:09,12,4.402328865,11/6/2014 13:09,12,5.022974218,11/6/2014 13:09,12,3.057258061,1,27
13,11/6/14 13:15,11,4.348069284,11/6/2014 13:15,11,4.945146809,11/6/2014 13:15,11,3.087726612,1,30.2
14,11/6/14 13:21,10,4.334238854,11/6/2014 13:21,10,4.967664555,11/6/2014 13:21,10,3.082282418,1,29.7
15,11/6/14 13:27,9,4.514974451,11/6/2014 13:27,9,5.15623908,11/6/2014 13:27,9,3.107516325,1,27.2
16,11/6/14 13:33,8,4.225715796,11/6/2014 13:33,8,4.795801173,11/6/2014 13:33,8,3.12037295,1,32.5
18,11/6/14 13:45,12,4.33623667,11/6/2014 13:45,12,4.993385162,11/6/2014 13:45,12,3.045396134,1,27
19,11/6/14 13:51,11,4.330612708,11/6/2014 13:51,11,4.922097501,11/6/2014 13:51,11,3.120274233,1,30.2
20,11/6/14 13:57,10,4.361363955,11/6/2014 13:57,10,5.014232203,11/6/2014 13:57,10,3.233547056,1,29.7
21,11/6/14 14:03,9,4.450794187,11/6/2014 14:03,9,5.100420821,11/6/2014 14:03,9,3.044024343,1,27.2
22,11/6/14 14:09,8,4.220250397,11/6/2014 14:09,8,4.791304573,11/6/2014 14:09,8,3.074524067,1,32.5
24,11/6/14 14:21,12,4.417521707,11/6/2014 14:21,12,5.083803813,11/6/2014 14:21,12,3.004438401,1,27
25,11/6/14 14:27,11,4.307192048,11/6/2014 14:27,11,4.89525904,11/6/2014 14:27,11,3.070562812,1,30.2
26,11/6/14 14:33,10,4.331112913,11/6/2014 14:33,10,4.990954639,11/6/2014 14:33,10,3.208531777,1,29.7
27,11/6/14 14:39,9,4.40992249,11/6/2014 14:39,9,5.03377211,11/6/2014 14:39,9,3.014444303,1,27.2
28,11/6/14 14:45,8,4.199193742,11/6/2014 14:45,8,4.773676786,11/6/2014 14:45,8,3.038925555,1,32.5
30,11/6/14 14:57,12,4.336054997,11/6/2014 14:57,12,4.974864632,11/6/2014 14:57,12,3.0328741,1,27
31,11/6/14 15:03,11,4.315548234,11/6/2014 15:03,11,4.900269577,11/6/2014 15:03,11,3.070822625,1,30.2
32,11/6/14 15:09,10,4.342467299,11/6/2014 15:09,10,4.994346078,11/6/2014 15:09,10,3.215003942,1,29.7
33,11/6/14 15:15,9,4.388900385,11/6/2014 15:15,9,5.004579491,11/6/2014 15:15,9,3.01645951,1,27.2
34,11/6/14 15:21,8,4.250235517,11/6/2014 15:21,8,4.82891619,11/6/2014 15:21,8,3.054700458,1,32.5
36,11/6/14 15:33,12,4.263860057,11/6/2014 15:33,12,4.893162125,11/6/2014 15:33,12,3.014725647,1,27
37,11/6/14 15:39,11,4.28727861,11/6/2014 15:39,11,4.874238557,11/6/2014 15:39,11,3.059620253,1,30.2
38,11/6/14 15:45,10,4.299337557,11/6/2014 15:45,10,4.948288331,11/6/2014 15:45,10,3.261811843,1,29.7
39,11/6/14 15:51,9,4.346174998,11/6/2014 15:51,9,4.956627356,11/6/2014 15:51,9,3.033102752,1,27.2
40,11/6/14 15:57,8,4.239286561,11/6/2014 15:57,8,4.822765575,11/6/2014 15:57,8,3.046932755,1,32.5
42,11/6/14 16:09,12,4.343121166,11/6/2014 16:09,12,4.979737215,11/6/2014 16:09,12,3.040500637,1,27
