,Date.Time,Mesocosm,NO3,Date.Time.1,Mesocosm.1,TN,Date.Time.2,Mesocosm.2,DOC,Run,Depth
19,10/1/14 12:00,12,4.078987701,10/1/2014 12:00,12,4.534075268,10/1/2014 12:00,12,4.76168342,1,25.9
20,10/1/14 12:06,11,3.753643175,10/1/2014 12:06,11,4.181851312,10/1/2014 12:06,11,4.830964965,1,26.9
21,10/1/14 12:12,10,3.981629459,10/1/2014 12:12,10,4.423896412,10/1/2014 12:12,10,4.767869653,1,32
22,10/1/14 12:18,9,4.556140736,10/1/2014 12:18,9,5.040696749,10/1/2014 12:18,9,4.628213274,1,26.8
23,10/1/14 12:24,8,4.003767494,10/1/2014 12:24,8,4.445619515,10/1/2014 12:24,8,4.758480731,1,27.5
25,10/1/14 12:36,12,4.15744237,10/1/2014 12:36,12,4.608157419,10/1/2014 12:36,12,4.715766614,1,25.9
26,10/1/14 12:42,11,3.753946912,10/1/2014 12:42,11,4.172196068,10/1/2014 12:42,11,4.805449996,1,26.9
27,10/1/14 12:48,10,3.977634835,10/1/2014 12:48,10,4.413774054,10/1/2014 12:48,10,4.750353783,1,32
28,10/1/14 12:54,9,4.540615341,10/1/2014 12:54,9,5.018219695,10/1/2014 12:54,9,4.616841191,1,26.8
30,10/1/14 13:12,12,3.984573044,10/1/2014 13:12,12,4.426610179,10/1/2014 13:12,12,4.69715274,1,25.9
31,10/1/14 13:18,11,3.744515971,10/1/2014 13:18,11,4.162486253,10/1/2014 13:18,11,4.790287743,1,26.9
32,10/1/14 13:24,10,3.909867099,10/1/2014 13:24,10,4.347873049,10/1/2014 13:24,10,4.682203693,1,32
33,10/1/14 13:30,9,4.532077983,10/1/2014 13:30,9,5.01223071,10/1/2014 13:30,9,4.576267848,1,26.8
34,10/1/14 13:36,8,4.070174418,10/1/2014 13:36,8,4.511208174,10/1/2014 13:36,8,4.709512124,1,27.5
36,10/1/14 13:48,12,4.072331511,10/1/2014 13:48,12,4.516696826,10/1/2014 13:48,12,4.708057641,1,25.9
37,10/1/14 13:54,11,3.70925259,10/1/2014 13:54,11,4.126705125,10/1/2014 13:54,11,4.794857589,1,26.9
38,10/1/14 14:00,10,3.930654097,10/1/2014 14:00,10,4.370174603,10/1/2014 14:00,10,4.689506737,1,32
39,10/1/14 14:06,9,4.478395384,10/1/2014 14:06,9,4.954337076,10/1/2014 14:06,9,4.587698571,1,26.8
40,10/1/14 14:12,8,4.067522079,10/1/2014 14:12,8,4.507764937,10/1/2014 14:12,8,4.701172722,1,27.5
42,10/1/14 14:28,11,3.55189319,10/1/2014 14:28,11,3.951788879,10/1/2014 14:28,11,4.814979783,1,26.9
43,10/1/14 14:34,10,3.891475915,10/1/2014 14:34,10,4.32716858,10/1/2014 14:34,10,4.696550629,1,32
44,10/1/14 14:40,9,4.341371676,10/1/2014 14:40,9,4.810969494,10/1/2014 14:40,9,4.619958202,1,26.8
