,Date.Time,Mesocosm,NO3,Date.Time.1,Mesocosm.1,TN,Date.Time.2,Mesocosm.2,DOC,Run,Depth
7,9/18/14 11:11,12,3.907753119,9/18/2014 11:11,12,4.81517616,9/18/2014 11:11,12,6.180500898,1,18.4
8,9/18/14 11:17,11,3.687190161,9/18/2014 11:17,11,4.460393512,9/18/2014 11:17,11,5.14402488,1,22.5
9,9/18/14 11:23,10,3.615967207,9/18/2014 11:23,10,4.544706749,9/18/2014 11:23,10,6.208947097,1,33
10,9/18/14 11:29,9,3.927551108,9/18/2014 11:29,9,4.429332562,9/18/2014 11:29,9,5.565740791,1,23.3
11,9/18/14 11:35,8,3.75811878,9/18/2014 11:35,8,4.276277406,9/18/2014 11:35,8,6.225319128,1,22.5
13,9/18/14 11:47,12,3.899875528,9/18/2014 11:47,12,4.464416996,9/18/2014 11:47,12,6.048296252,1,18.4
14,9/18/14 11:53,11,3.630471779,9/18/2014 11:53,11,4.365626402,9/18/2014 11:53,11,5.843870741,1,22.5
15,9/18/14 11:59,10,3.554531136,9/18/2014 11:59,10,4.360544694,9/18/2014 11:59,10,6.707758456,1,33
16,9/18/14 12:05,9,3.87475463,9/18/2014 12:05,9,4.421993965,9/18/2014 12:05,9,5.46981707,1,23.3
17,9/18/14 12:11,8,3.749947034,9/18/2014 12:11,8,4.377086441,9/18/2014 12:11,8,6.448187531,1,22.5
19,9/18/14 12:23,12,3.77634995,9/18/2014 12:23,12,4.77194124,9/18/2014 12:23,12,7.82541051,1,18.4
20,9/18/14 12:29,11,3.544565973,9/18/2014 12:29,11,4.189300628,9/18/2014 12:29,11,7.47599973,1,22.5
21,9/18/14 12:35,10,3.512515604,9/18/2014 12:35,10,4.466859059,9/18/2014 12:35,10,7.484729181,1,33
22,9/18/14 12:41,9,3.776130522,9/18/2014 12:41,9,4.380198814,9/18/2014 12:41,9,7.026155228,1,23.3
23,9/18/14 12:47,8,3.682752092,9/18/2014 12:47,8,4.276209964,9/18/2014 12:47,8,7.378784902,1,22.5
25,9/18/14 12:59,12,3.823685224,9/18/2014 12:59,12,4.496019863,9/18/2014 12:59,12,7.142353639,1,18.4
26,9/18/14 13:05,11,3.584614465,9/18/2014 13:05,11,4.154806563,9/18/2014 13:05,11,7.051688183,1,22.5
27,9/18/14 13:11,10,3.535809234,9/18/2014 13:11,10,3.954391824,9/18/2014 13:11,10,7.392396419,1,33
28,9/18/14 13:17,9,3.807307158,9/18/2014 13:17,9,4.349240826,9/18/2014 13:17,9,6.529782111,1,23.3
29,9/18/14 13:23,8,3.637155693,9/18/2014 13:23,8,4.274919715,9/18/2014 13:23,8,8.375186044,1,22.5
31,9/18/14 13:35,12,3.811899462,9/18/2014 13:35,12,4.241090888,9/18/2014 13:35,12,7.332603587,1,18.4
32,9/18/14 13:41,11,3.562115426,9/18/2014 13:41,11,4.150192823,9/18/2014 13:41,11,7.099353393,1,22.5
33,9/18/14 13:47,10,3.480863971,9/18/2014 13:47,10,4.105430147,9/18/2014 13:47,10,7.841751998,1,33
34,9/18/14 13:53,9,3.698325647,9/18/2014 13:53,9,4.266444418,9/18/2014 13:53,9,7.926485623,1,23.3
35,9/18/14 13:59,8,3.668858042,9/18/2014 13:59,8,4.255152871,9/18/2014 13:59,8,7.762825185,1,22.5
37,9/18/14 14:11,12,3.791370992,9/18/2014 14:11,12,4.420470514,9/18/2014 14:11,12,7.360354305,1,18.4
38,9/18/14 14:17,11,3.572356384,9/18/2014 14:17,11,4.156100608,9/18/2014 14:17,11,7.021643311,1,22.5
39,9/18/14 14:23,10,3.528115844,9/18/2014 14:23,10,4.138594763,9/18/2014 14:23,10,7.303288729,1,33
40,9/18/14 14:29,9,3.782779934,9/18/2014 14:29,9,4.304349813,9/18/2014 14:29,9,7.363192151,1,23.3
41,9/18/14 14:35,8,3.726976062,9/18/2014 14:35,8,4.287056917,9/18/2014 14:35,8,6.72161132,1,22.5
43,9/18/14 14:47,12,3.84382518,9/18/2014 14:47,12,4.342036315,9/18/2014 14:47,12,7.155020622,1,18.4
44,9/18/14 14:53,11,3.567899001,9/18/2014 14:53,11,4.135685802,9/18/2014 14:53,11,7.458752896,1,22.5
45,9/18/14 14:59,10,3.556290061,9/18/2014 14:59,10,3.909524331,9/18/2014 14:59,10,7.94801938,1,33
46,9/18/14 15:05,9,3.836540087,9/18/2014 15:05,9,4.173163227,9/18/2014 15:05,9,6.829573598,1,23.3
47,9/18/14 15:11,8,3.708995269,9/18/2014 15:11,8,4.221759502,9/18/2014 15:11,8,7.005019349,1,22.5
49,9/18/14 15:23,12,3.797039119,9/18/2014 15:23,12,4.149745142,9/18/2014 15:23,12,7.930027403,1,18.4
50,9/18/14 15:29,11,3.587389883,9/18/2014 15:29,11,3.865014595,9/18/2014 15:29,11,7.166899328,1,22.5
