Date/Time,NO3-Neq [mg/l]87.50-0.00_1,Date/Time,NO3-Neq [mg/l]87.50-0.00_1,Date/Time,NO3-Neq [mg/l]87.50-0.00_1,Date/Time,NO3-Neq [mg/l]87.50-0.00_1,Source
2015.06.30  11:44:20,0.683,2015.06.30  14:56:00,0.737,2015.07.06  09:16:20,0.797,2015.07.06  12:39:40,0.811,Low
2015.06.30  11:46:40,15.339,2015.06.30  14:58:20,8.626,2015.07.06  09:18:40,4.819,2015.07.06  12:42:00,2.512,High
2015.06.30  11:49:00,0.749,2015.06.30  15:00:40,0.71,2015.07.06  09:21:00,0.756,2015.07.06  12:44:20,0.81,Low
2015.06.30  11:51:20,15.293,2015.06.30  15:03:00,8.605,2015.07.06  09:23:20,4.818,2015.07.06  12:46:40,2.496,High
2015.06.30  11:53:40,0.738,2015.06.30  15:05:20,0.741,2015.07.06  09:25:40,0.764,2015.07.06  12:49:00,0.731,Low
2015.06.30  11:56:00,15.247,2015.06.30  15:07:40,8.609,2015.07.06  09:28:00,4.831,2015.07.06  12:51:20,2.487,High
2015.06.30  11:58:20,0.736,2015.06.30  15:10:00,0.701,2015.07.06  09:30:20,0.755,2015.07.06  12:53:40,0.798,Low
2015.06.30  12:00:40,15.271,2015.06.30  15:13:20,8.629,2015.07.06  09:32:40,4.786,2015.07.06  12:56:00,2.51,High
2015.06.30  12:03:00,0.767,2015.06.30  15:17:00,0.714,2015.07.06  09:35:00,0.77,2015.07.06  12:58:20,0.8,Low
2015.06.30  12:05:20,15.226,2015.06.30  15:19:20,8.631,2015.07.06  09:37:20,4.766,2015.07.06  13:00:40,2.531,High
2015.06.30  12:07:40,0.822,2015.06.30  15:21:40,0.739,2015.07.06  09:39:40,0.744,2015.07.06  13:03:00,0.784,Low
2015.06.30  12:10:00,15.27,2015.06.30  15:24:00,8.629,2015.07.06  09:42:00,4.801,2015.07.06  13:05:20,2.531,High
2015.06.30  12:12:20,0.786,2015.06.30  15:26:20,0.761,2015.07.06  09:44:20,0.766,2015.07.06  13:07:40,0.826,Low
2015.06.30  12:14:40,15.245,2015.06.30  15:28:40,8.552,2015.07.06  09:46:40,4.755,2015.07.06  13:10:00,2.516,High
2015.06.30  12:17:00,0.847,2015.06.30  15:31:00,0.741,2015.07.06  09:49:00,0.76,2015.07.06  13:12:20,0.774,Low
2015.06.30  12:19:20,15.244,2015.06.30  15:33:20,8.596,2015.07.06  09:51:20,4.8,2015.07.06  13:14:40,2.502,High
2015.06.30  12:21:40,0.785,2015.06.30  15:35:40,0.757,2015.07.06  09:53:40,0.786,2015.07.06  13:17:00,0.748,Low
2015.06.30  12:24:00,15.222,2015.06.30  15:38:00,8.581,2015.07.06  09:56:00,4.778,2015.07.06  13:19:20,2.472,High
2015.06.30  12:26:20,0.849,2015.06.30  15:40:20,0.791,2015.07.06  09:58:20,0.751,2015.07.06  13:21:40,0.766,Low
2015.06.30  12:28:40,15.234,2015.06.30  15:42:40,8.552,2015.07.06  10:00:40,4.792,2015.07.06  13:24:00,2.554,High
