,Date.Time,Mesocosm,NO3,Date.Time.1,Mesocosm.1,TN,Date.Time.2,Mesocosm.2,DOC,Run,Depth
13,8/28/2014 12:54,12,4.869901963,8/28/2014 12:54,12,5.031588958,8/28/2014 12:54,12,5.704612789,1,21
14,8/28/2014 13:00,11,4.269037311,8/28/2014 13:00,11,4.449509113,8/28/2014 13:00,11,5.079520184,1,29.7
15,8/28/2014 13:06,10,4.59836398,8/28/2014 13:06,10,4.734812895,8/28/2014 13:06,10,5.491234324,1,24.4
16,8/28/2014 13:12,9,4.209811661,8/28/2014 13:12,9,4.377087219,8/28/2014 13:12,9,5.103484695,1,31.1
17,8/28/2014 13:18,8,3.772635751,8/28/2014 13:18,8,3.924940885,8/28/2014 13:18,8,4.722427186,1,30.5
19,8/28/2014 13:30,12,4.78750547,8/28/2014 13:30,12,4.969860124,8/28/2014 13:30,12,5.682504726,1,21
20,8/28/2014 13:36,11,4.22117181,8/28/2014 13:36,11,4.408861764,8/28/2014 13:36,11,5.039311304,1,29.7
21,8/28/2014 13:42,10,4.548332409,8/28/2014 13:42,10,4.705526042,8/28/2014 13:42,10,5.544213693,1,24.4
22,8/28/2014 13:48,9,4.182090722,8/28/2014 13:48,9,4.358928157,8/28/2014 13:48,9,5.019050315,1,31.1
23,8/28/2014 13:54,8,3.880286232,8/28/2014 13:54,8,4.051149183,8/28/2014 13:54,8,4.71190267,1,30.5
25,8/28/2014 14:06,12,4.723335277,8/28/2014 14:06,12,4.921327193,8/28/2014 14:06,12,5.645615039,1,21
26,8/28/2014 14:12,11,4.179929875,8/28/2014 14:12,11,4.392861383,8/28/2014 14:12,11,4.995914901,1,29.7
27,8/28/2014 14:18,10,4.493432204,8/28/2014 14:18,10,4.630739144,8/28/2014 14:18,10,5.436907663,1,24.4
28,8/28/2014 14:24,9,4.13491792,8/28/2014 14:24,9,4.344091305,8/28/2014 14:24,9,4.958643585,1,31.1
29,8/28/2014 14:30,8,3.798702788,8/28/2014 14:30,8,4.005980143,8/28/2014 14:30,8,4.51914397,1,30.5
31,8/28/2014 14:42,12,4.622423954,8/28/2014 14:42,12,4.87285667,8/28/2014 14:42,12,5.334447883,1,21
32,8/28/2014 14:48,11,4.103688188,8/28/2014 14:48,11,4.356682508,8/28/2014 14:48,11,4.641218606,1,29.7
33,8/28/2014 14:54,10,4.373724022,8/28/2014 14:54,10,4.606858606,8/28/2014 14:54,10,5.061086703,1,24.4
34,8/28/2014 15:06,12,4.576482081,8/28/2014 15:06,12,4.850874782,8/28/2014 15:06,12,5.117242615,1,21
35,8/28/2014 15:12,11,4.04761412,8/28/2014 15:12,11,4.331985159,8/28/2014 15:12,11,4.46329967,1,29.7
36,8/28/2014 15:18,10,4.328354016,8/28/2014 15:18,10,4.593997389,8/28/2014 15:18,10,4.947263051,1,24.4
37,8/28/2014 15:24,9,4.033930107,8/28/2014 15:24,9,4.321237967,8/28/2014 15:24,9,4.374730931,1,31.1
