,Date.Time,Mesocosm,NO3,Date.Time.1,Mesocosm.1,TN,Date.Time.2,Mesocosm.2,DOC,Run,Depth
16,12/17/14 11:36,12,4.730775978,12/17/2014 11:36,12,5.715375397,12/17/2014 11:36,12,5.002313853,1,29.9
17,12/17/14 11:42,11,4.561724277,12/17/2014 11:42,11,5.5039274,12/17/2014 11:42,11,5.284047962,1,32
18,12/17/14 11:48,10,4.598728834,12/17/2014 11:48,10,5.54499962,12/17/2014 11:48,10,5.252562999,1,33.4
19,12/17/14 12:06,8,4.46698211,12/17/2014 12:06,8,5.417013642,12/17/2014 12:06,8,5.063237153,1,34.5
20,12/17/14 12:12,12,4.740485694,12/17/2014 12:12,12,5.74728343,12/17/2014 12:12,12,4.989889874,1,29.9
21,12/17/14 12:18,11,4.57733242,12/17/2014 12:18,11,5.530437017,12/17/2014 12:18,11,5.132630456,1,32
22,12/17/14 12:24,10,4.561673073,12/17/2014 12:24,10,5.502833244,12/17/2014 12:24,10,5.136470038,1,33.4
23,12/17/14 12:30,9,4.582169489,12/17/2014 12:30,9,5.550146277,12/17/2014 12:30,9,5.11318409,1,40.4
24,12/17/14 12:36,8,4.372214762,12/17/2014 12:36,8,5.334281577,12/17/2014 12:36,8,5.008715755,1,34.5
25,12/17/14 12:42,12,4.63512784,12/17/2014 12:42,12,5.62744508,12/17/2014 12:42,12,4.980648866,1,29.9
26,12/17/14 12:43,11,4.506003693,12/17/2014 12:43,11,5.456505703,12/17/2014 12:43,11,5.100485565,1,32
27,12/17/14 12:49,10,4.511296352,12/17/2014 12:49,10,5.481224847,12/17/2014 12:49,10,5.111381184,1,33.4
28,12/17/14 12:55,9,4.481695321,12/17/2014 12:55,9,5.435336568,12/17/2014 12:55,9,5.171594228,1,40.4
29,12/17/14 13:01,8,4.436921851,12/17/2014 13:01,8,5.415710991,12/17/2014 13:01,8,4.951993691,1,34.5
30,12/17/14 13:07,12,4.661038664,12/17/2014 13:07,12,5.647886385,12/17/2014 13:07,12,4.979423104,1,29.9
31,12/17/14 13:13,11,4.455325273,12/17/2014 13:13,11,5.40256974,12/17/2014 13:13,11,5.16422198,1,32
32,12/17/14 13:19,10,4.547519861,12/17/2014 13:19,10,5.507745251,12/17/2014 13:19,10,4.984077521,1,33.4
33,12/17/14 13:25,9,4.440980165,12/17/2014 13:25,9,5.38691007,12/17/2014 13:25,9,5.091073073,1,40.4
34,12/17/14 13:31,8,4.409476693,12/17/2014 13:31,8,5.388239807,12/17/2014 13:31,8,4.708722987,1,34.5
35,12/17/14 13:37,12,4.631267758,12/17/2014 13:37,12,5.615786147,12/17/2014 13:37,12,4.832161241,1,29.9
36,12/17/14 13:43,11,4.492416832,12/17/2014 13:43,11,5.452522013,12/17/2014 13:43,11,5.067985268,1,32
37,12/17/14 13:49,10,4.550454274,12/17/2014 13:49,10,5.529527696,12/17/2014 13:49,10,4.881687507,1,33.4
38,12/17/14 13:55,9,4.468545619,12/17/2014 13:55,9,5.420753794,12/17/2014 13:55,9,5.110226825,1,40.4
39,12/17/14 14:01,8,4.440464107,12/17/2014 14:01,8,5.413141506,12/17/2014 14:01,8,4.770160707,1,34.5
40,12/17/14 14:07,12,4.666777352,12/17/2014 14:07,12,5.687926653,12/17/2014 14:07,12,4.794839458,1,29.9
41,12/17/14 14:13,11,4.448409889,12/17/2014 14:13,11,5.387653801,12/17/2014 14:13,11,5.087323724,1,32
42,12/17/14 14:19,10,4.48225776,12/17/2014 14:19,10,5.453629173,12/17/2014 14:19,10,4.985986611,1,33.4
43,12/17/14 14:25,9,4.405658618,12/17/2014 14:25,9,5.361187783,12/17/2014 14:25,9,5.000757096,1,40.4
44,12/17/14 14:31,8,4.33128366,12/17/2014 14:31,8,5.30862923,12/17/2014 14:31,8,4.651216463,1,34.5
45,12/17/14 14:37,12,4.637900958,12/17/2014 14:37,12,5.643874733,12/17/2014 14:37,12,4.85827793,1,29.9
46,12/17/14 14:43,11,4.402746623,12/17/2014 14:43,11,5.355701671,12/17/2014 14:43,11,5.172352097,1,32
47,12/17/14 14:49,10,4.44036632,12/17/2014 14:49,10,5.40964605,12/17/2014 14:49,10,5.108452235,1,33.4
48,12/17/14 14:55,9,4.396053795,12/17/2014 14:55,9,5.340432849,12/17/2014 14:55,9,5.116655101,1,40.4
49,12/17/14 15:01,8,4.386815826,12/17/2014 15:01,8,5.36885998,12/17/2014 15:01,8,4.661614975,1,34.5
50,12/17/14 15:07,12,4.594132489,12/17/2014 15:07,12,5.591139761,12/17/2014 15:07,12,4.36793422,1,29.9
51,12/17/14 15:13,11,4.396667883,12/17/2014 15:13,11,5.362755314,12/17/2014 15:13,11,4.33696247,1,32
52,12/17/14 15:19,10,4.469082596,12/17/2014 15:19,10,5.455377929,12/17/2014 15:19,10,4.165030102,1,33.4
53,12/17/14 15:25,9,4.393311644,12/17/2014 15:25,9,5.356456022,12/17/2014 15:25,9,4.194552547,1,40.4
54,12/17/14 15:31,8,4.370686922,12/17/2014 15:31,8,5.371942579,12/17/2014 15:31,8,3.768380821,1,34.5
55,12/17/14 15:37,12,4.58482251,12/17/2014 15:37,12,5.609849879,12/17/2014 15:37,12,3.785671587,1,29.9
56,12/17/14 15:43,11,4.368877449,12/17/2014 15:43,11,5.337070158,12/17/2014 15:43,11,4.019790602,1,32
57,12/17/14 15:49,10,4.451501668,12/17/2014 15:49,10,5.436529189,12/17/2014 15:49,10,3.93213313,1,33.4
58,12/17/14 15:55,9,4.38666513,12/17/2014 15:55,9,5.346146171,12/17/2014 15:55,9,4.035843329,1,40.4
59,12/17/14 16:01,8,4.37053247,12/17/2014 16:01,8,5.37600792,12/17/2014 16:01,8,3.702785324,1,34.5
60,12/17/14 16:07,12,4.571535181,12/17/2014 16:07,12,5.59415261,12/17/2014 16:07,12,3.805325354,1,29.9
61,12/17/14 16:13,11,4.401296751,12/17/2014 16:13,11,5.368561928,12/17/2014 16:13,11,3.999236446,1,32
62,12/17/14 16:19,10,4.440095411,12/17/2014 16:19,10,5.42643585,12/17/2014 16:19,10,3.953661819,1,33.4
63,12/17/14 16:25,9,4.402026804,12/17/2014 16:25,9,5.367427794,12/17/2014 16:25,9,4.033668182,1,40.4
64,12/17/14 16:31,8,4.386546324,12/17/2014 16:31,8,5.391666454,12/17/2014 16:31,8,3.680674385,1,34.5
65,12/17/14 16:37,12,4.588006862,12/17/2014 16:37,12,5.61703594,12/17/2014 16:37,12,3.826254745,1,29.9
66,12/17/14 16:43,11,4.418995163,12/17/2014 16:43,11,5.38941092,12/17/2014 16:43,11,3.98991174,1,32
67,12/17/14 16:49,10,4.440958875,12/17/2014 16:49,10,5.425022589,12/17/2014 16:49,10,3.975724408,1,33.4
68,12/17/14 16:55,9,4.405480011,12/17/2014 16:55,9,5.367730495,12/17/2014 16:55,9,4.034166056,1,40.4
69,12/17/14 17:01,8,4.398569086,12/17/2014 17:01,8,5.4012149,12/17/2014 17:01,8,3.686824052,1,34.5
70,12/17/14 17:07,12,4.621056364,12/17/2014 17:07,12,5.651112569,12/17/2014 17:07,12,3.790645032,1,29.9
71,12/17/14 17:13,11,4.404977832,12/17/2014 17:13,11,5.374681544,12/17/2014 17:13,11,4.006718662,1,32
72,12/17/14 17:19,10,4.446916986,12/17/2014 17:19,10,5.419069844,12/17/2014 17:19,10,3.974834533,1,33.4
73,12/17/14 17:25,9,4.382651993,12/17/2014 17:25,9,5.338171127,12/17/2014 17:25,9,4.069517036,1,40.4
74,12/17/14 17:31,8,4.422245258,12/17/2014 17:31,8,5.419928308,12/17/2014 17:31,8,3.663311642,1,34.5
75,12/17/14 17:37,12,4.600955967,12/17/2014 17:37,12,5.614928725,12/17/2014 17:37,12,3.803996035,1,29.9
76,12/17/14 17:43,11,4.406453013,12/17/2014 17:43,11,5.378485217,12/17/2014 17:43,11,4.015185457,1,32
77,12/17/14 17:49,10,4.452999335,12/17/2014 17:49,10,5.431722603,12/17/2014 17:49,10,3.978576482,1,33.4
78,12/17/14 17:55,9,4.384132976,12/17/2014 17:55,9,5.342389677,12/17/2014 17:55,9,4.072497497,1,40.4
79,12/17/14 18:01,8,4.425925886,12/17/2014 18:01,8,5.446336257,12/17/2014 18:01,8,3.654763612,1,34.5
80,12/17/14 18:07,12,4.596903268,12/17/2014 18:07,12,5.608514394,12/17/2014 18:07,12,3.822184377,1,29.9
81,12/17/14 18:13,11,4.414452171,12/17/2014 18:13,11,5.380346642,12/17/2014 18:13,11,4.022113821,1,32
82,12/17/14 18:19,10,4.451067886,12/17/2014 18:19,10,5.429667617,12/17/2014 18:19,10,4.023482178,1,33.4
83,12/17/14 18:25,9,4.371593535,12/17/2014 18:25,9,5.331467578,12/17/2014 18:25,9,4.108314294,1,40.4
84,12/17/14 18:31,8,4.421852833,12/17/2014 18:31,8,5.443803684,12/17/2014 18:31,8,3.682208435,1,34.5
85,12/17/14 18:37,12,4.601443282,12/17/2014 18:37,12,5.620719178,12/17/2014 18:37,12,3.835780056,1,29.9
86,12/17/14 18:43,11,4.398242518,12/17/2014 18:43,11,5.363843168,12/17/2014 18:43,11,4.041642126,1,32
87,12/17/14 18:49,10,4.425739481,12/17/2014 18:49,10,5.399224424,12/17/2014 18:49,10,4.046831304,1,33.4
88,12/17/14 18:55,9,4.365923617,12/17/2014 18:55,9,5.319739931,12/17/2014 18:55,9,4.123914503,1,40.4
89,12/17/14 19:01,8,4.421507314,12/17/2014 19:01,8,5.428961639,12/17/2014 19:01,8,3.670704331,1,34.5
90,12/17/14 19:07,12,4.588745504,12/17/2014 19:07,12,5.600176951,12/17/2014 19:07,12,3.854291266,1,29.9
91,12/17/14 19:13,11,4.37722117,12/17/2014 19:13,11,5.346924376,12/17/2014 19:13,11,4.080193453,1,32
92,12/17/14 19:19,10,4.43770964,12/17/2014 19:19,10,5.422083946,12/17/2014 19:19,10,4.035198063,1,33.4
93,12/17/14 19:25,9,4.376043718,12/17/2014 19:25,9,5.335878085,12/17/2014 19:25,9,4.11124486,1,40.4
94,12/17/14 19:31,8,4.422109068,12/17/2014 19:31,8,5.435887186,12/17/2014 19:31,8,3.675915431,1,34.5
95,12/17/14 19:37,12,4.57061295,12/17/2014 19:37,12,5.591396894,12/17/2014 19:37,12,3.882296462,1,29.9
96,12/17/14 19:43,11,4.372895343,12/17/2014 19:43,11,5.342854089,12/17/2014 19:43,11,4.094209704,1,32
97,12/17/14 19:49,10,4.438065456,12/17/2014 19:49,10,5.42288604,12/17/2014 19:49,10,4.032374065,1,33.4
98,12/17/14 19:55,9,4.352887672,12/17/2014 19:55,9,5.316171097,12/17/2014 19:55,9,4.156598091,1,40.4
99,12/17/14 20:01,8,4.444878648,12/17/2014 20:01,8,5.466872756,12/17/2014 20:01,8,3.68523012,1,34.5
100,12/17/14 20:07,12,4.581326516,12/17/2014 20:07,12,5.601733757,12/17/2014 20:07,12,3.875192924,1,29.9
101,12/17/14 20:13,11,4.349032429,12/17/2014 20:13,11,5.31084693,12/17/2014 20:13,11,4.138530521,1,32
