,Date.Time,Mesocosm,NO3,Date.Time.1,Mesocosm.1,TN,Date.Time.2,Mesocosm.2,DOC,Run,Depth
19,1/29/15 13:31,9,4.502252481,1/29/2015 13:31,9,5.207223464,1/29/2015 13:31,9,3.340678118,1,29.7
20,1/29/15 13:37,8,3.691740322,1/29/2015 13:37,8,4.238339449,1/29/2015 13:37,8,3.316672469,1,41.5
21,1/29/15 13:43,12,3.744522515,1/29/2015 13:43,12,4.377862613,1/29/2015 13:43,12,3.247848141,1,32.2
22,1/29/15 13:49,11,3.576397155,1/29/2015 13:49,11,4.222253048,1/29/2015 13:49,11,3.305580648,1,35.7
23,1/29/15 13:55,10,4.295255255,1/29/2015 13:55,10,4.962529451,1/29/2015 13:55,10,3.548415506,1,34.7
24,1/29/15 14:01,9,4.420574386,1/29/2015 14:01,9,5.140076359,1/29/2015 14:01,9,3.702204876,1,29.7
25,1/29/15 14:07,8,3.461104591,1/29/2015 14:07,8,4.111099124,1/29/2015 14:07,8,3.235936679,1,41.5
26,1/29/15 14:13,12,3.680223035,1/29/2015 14:13,12,4.349657265,1/29/2015 14:13,12,3.022824819,1,32.2
27,1/29/15 14:19,11,3.59332769,1/29/2015 14:19,11,4.234941988,1/29/2015 14:19,11,3.154760092,1,35.7
28,1/29/15 14:25,10,4.217029641,1/29/2015 14:25,10,4.893786246,1/29/2015 14:25,10,3.412722644,1,34.7
29,1/29/15 14:31,9,4.434171565,1/29/2015 14:31,9,5.148651132,1/29/2015 14:31,9,3.259720853,1,29.7
30,1/29/15 14:37,8,3.429120269,1/29/2015 14:37,8,4.100851575,1/29/2015 14:37,8,2.789622542,1,41.5
31,1/29/15 14:43,12,3.673180694,1/29/2015 14:43,12,4.318792756,1/29/2015 14:43,12,3.033436639,1,32.2
32,1/29/15 14:55,10,4.14505931,1/29/2015 14:55,10,4.832378185,1/29/2015 14:55,10,3.445144277,1,34.7
33,1/29/15 15:07,8,3.55703848,1/29/2015 15:07,8,4.179805082,1/29/2015 15:07,8,3.352124074,1,41.5
34,1/29/15 15:13,12,3.736223069,1/29/2015 15:13,12,4.370354172,1/29/2015 15:13,12,3.527757991,1,32.2
35,1/29/15 15:19,11,3.644099993,1/29/2015 15:19,11,4.288782095,1/29/2015 15:19,11,3.182341049,1,35.7
36,1/29/15 15:31,9,4.525486252,1/29/2015 15:31,9,5.23436508,1/29/2015 15:31,9,3.428052019,1,29.7
37,1/29/15 15:37,8,3.490792131,1/29/2015 15:37,8,4.108424195,1/29/2015 15:37,8,3.381297316,1,41.5
38,1/29/15 15:43,12,3.739526963,1/29/2015 15:43,12,4.362683321,1/29/2015 15:43,12,3.639334777,1,32.2
39,1/29/15 15:49,11,3.705967701,1/29/2015 15:49,11,4.335792183,1/29/2015 15:49,11,3.412586308,1,35.7
40,1/29/15 15:55,10,4.210107478,1/29/2015 15:55,10,4.871437588,1/29/2015 15:55,10,3.502503793,1,34.7
41,1/29/15 16:01,9,4.495731993,1/29/2015 16:01,9,5.184080152,1/29/2015 16:01,9,3.986190039,1,29.7
42,1/29/15 16:07,8,3.566497953,1/29/2015 16:07,8,4.19142301,1/29/2015 16:07,8,3.519419196,1,41.5
43,1/29/15 16:13,12,3.717079573,1/29/2015 16:13,12,4.364357335,1/29/2015 16:13,12,3.179112524,1,32.2
44,1/29/15 16:19,11,3.668494324,1/29/2015 16:19,11,4.294602429,1/29/2015 16:19,11,3.31950849,1,35.7
45,1/29/15 16:25,10,4.18429567,1/29/2015 16:25,10,4.845393615,1/29/2015 16:25,10,3.516650318,1,34.7
46,1/29/15 16:31,9,4.522075465,1/29/2015 16:31,9,5.222663679,1/29/2015 16:31,9,3.643572535,1,29.7
47,1/29/15 16:37,8,3.568501924,1/29/2015 16:37,8,4.180950466,1/29/2015 16:37,8,3.576045276,1,41.5
48,1/29/15 16:43,12,3.713627185,1/29/2015 16:43,12,4.330926237,1/29/2015 16:43,12,3.869375739,1,32.2
49,1/29/15 16:49,11,3.696946748,1/29/2015 16:49,11,4.333974647,1/29/2015 16:49,11,3.511793598,1,35.7
50,1/29/15 16:55,10,4.158761858,1/29/2015 16:55,10,4.823667135,1/29/2015 16:55,10,3.828633223,1,34.7
51,1/29/15 17:01,9,4.505740303,1/29/2015 17:01,9,5.199949166,1/29/2015 17:01,9,4.028781355,1,29.7
52,1/29/15 17:07,8,3.570613059,1/29/2015 17:07,8,4.190847807,1/29/2015 17:07,8,3.610047671,1,41.5
53,1/29/15 17:13,12,3.734125412,1/29/2015 17:13,12,4.357246371,1/29/2015 17:13,12,3.733839347,1,32.2
54,1/29/15 17:19,11,3.641086277,1/29/2015 17:19,11,4.270908683,1/29/2015 17:19,11,3.577521352,1,35.7
55,1/29/15 17:25,10,4.138415921,1/29/2015 17:25,10,4.798826453,1/29/2015 17:25,10,3.811666155,1,34.7
56,1/29/15 17:31,9,4.514328087,1/29/2015 17:31,9,5.203292552,1/29/2015 17:31,9,3.821976904,1,29.7
57,1/29/15 17:37,8,3.500503922,1/29/2015 17:37,8,4.12605293,1/29/2015 17:37,8,3.063733308,1,41.5
58,1/29/15 17:43,12,3.694778347,1/29/2015 17:43,12,4.321008128,1/29/2015 17:43,12,3.662389169,1,32.2
59,1/29/15 17:49,11,3.681484346,1/29/2015 17:49,11,4.298968527,1/29/2015 17:49,11,3.653877612,1,35.7
60,1/29/15 17:55,10,4.111984076,1/29/2015 17:55,10,4.791018658,1/29/2015 17:55,10,3.498469761,1,34.7
61,1/29/15 18:01,9,4.508853507,1/29/2015 18:01,9,5.195483459,1/29/2015 18:01,9,3.459301007,1,29.7
62,1/29/15 18:07,8,3.562564342,1/29/2015 18:07,8,4.185173807,1/29/2015 18:07,8,3.247043101,1,41.5
63,1/29/15 18:13,12,3.713332341,1/29/2015 18:13,12,4.341749377,1/29/2015 18:13,12,3.412490597,1,32.2
64,1/29/15 18:19,11,3.68792214,1/29/2015 18:19,11,4.310894199,1/29/2015 18:19,11,3.171941157,1,35.7
65,1/29/15 18:25,10,4.055193526,1/29/2015 18:25,10,4.724672806,1/29/2015 18:25,10,3.579688576,1,34.7
66,1/29/15 18:31,9,4.47616271,1/29/2015 18:31,9,5.166477365,1/29/2015 18:31,9,3.471139939,1,29.7
67,1/29/15 18:37,8,3.568827276,1/29/2015 18:37,8,4.190825355,1/29/2015 18:37,8,3.316233998,1,41.5
68,1/29/15 18:43,12,3.663142443,1/29/2015 18:43,12,4.303791661,1/29/2015 18:43,12,3.358063835,1,32.2
69,1/29/15 18:49,11,3.658212059,1/29/2015 18:49,11,4.281676338,1/29/2015 18:49,11,3.677094174,1,35.7
70,1/29/15 18:55,10,4.095476314,1/29/2015 18:55,10,4.74858004,1/29/2015 18:55,10,3.744999218,1,34.7
