,Date.Time,Mesocosm,NO3,Date.Time.1,Mesocosm.1,TN,Date.Time.2,Mesocosm.2,DOC,Run,Depth
13,3/16/15 11:02,12,4.055991,3/16/2015 11:02,12,6.674618236,3/16/2015 11:02,12,5.016762277,1,21.3
14,3/16/15 11:08,11,3.798344107,3/16/2015 11:08,11,6.389465682,3/16/2015 11:08,11,5.160920317,1,25.5
15,3/16/15 11:14,10,2.750935909,3/16/2015 11:14,10,5.162973636,3/16/2015 11:14,10,5.358309483,1,21.2
16,3/16/15 11:20,9,2.784637595,3/16/2015 11:20,9,5.148843673,3/16/2015 11:20,9,5.330016246,1,17.7
17,3/16/15 11:26,8,2.753675877,3/16/2015 11:26,8,5.201436146,3/16/2015 11:26,8,5.376724709,1,19
19,3/16/15 11:38,12,4.030600739,3/16/2015 11:38,12,6.688401998,3/16/2015 11:38,12,4.96052086,1,21.3
20,3/16/15 11:44,11,3.799364584,3/16/2015 11:44,11,6.433751343,3/16/2015 11:44,11,5.089990871,1,25.5
21,3/16/15 11:50,10,2.76978363,3/16/2015 11:50,10,5.22689443,3/16/2015 11:50,10,5.244978196,1,21.2
22,3/16/15 11:56,9,2.788504578,3/16/2015 11:56,9,5.188946515,3/16/2015 11:56,9,5.211926373,1,17.7
23,3/16/15 12:02,8,2.735855691,3/16/2015 12:02,8,5.280358265,3/16/2015 12:02,8,5.220081858,1,19
25,3/16/15 12:14,12,4.006987691,3/16/2015 12:14,12,6.720499766,3/16/2015 12:14,12,4.908363081,1,21.3
26,3/16/15 12:20,11,3.783562813,3/16/2015 12:20,11,6.420218741,3/16/2015 12:20,11,5.061242902,1,25.5
27,3/16/15 12:26,10,2.754293332,3/16/2015 12:26,10,5.233008644,3/16/2015 12:26,10,5.217507307,1,21.2
28,3/16/15 12:32,9,2.7857694,3/16/2015 12:32,9,5.190636972,3/16/2015 12:32,9,5.195200535,1,17.7
29,3/16/15 12:38,8,2.729560997,3/16/2015 12:38,8,5.231240235,3/16/2015 12:38,8,5.305352251,1,19
