,Date.Time,Mesocosm,NO3,Run,Depth
66,3/18/15 16:03,12,4.652190306,1,16.6
67,3/18/15 16:09,11,4.254431339,1,34.2
68,3/18/15 16:15,10,3.251070794,1,30.4
69,3/18/15 16:21,9,2.547195825,1,13.6
70,3/18/15 16:27,8,3.345199741,1,45
72,3/18/15 16:39,12,4.587795041,1,16.6
73,3/18/15 16:45,11,4.246104323,1,34.2
74,3/18/15 16:51,10,3.242612989,1,30.4
75,3/18/15 16:57,9,2.503876678,1,13.6
76,3/18/15 17:03,8,3.339251145,1,45
78,3/18/15 17:15,12,4.540657312,1,16.6
79,3/18/15 17:21,11,4.224830304,1,34.2
80,3/18/15 17:27,10,3.239747538,1,30.4
81,3/18/15 17:33,9,2.472151081,1,13.6
82,3/18/15 17:39,8,3.328759383,1,45
84,3/18/15 17:51,12,4.47986436,1,16.6
85,3/18/15 17:57,11,4.206681586,1,34.2
86,3/18/15 18:03,10,3.21081925,1,30.4
87,3/18/15 18:09,9,2.409717146,1,13.6
88,3/18/15 18:15,8,3.331978607,1,45
90,3/18/15 18:27,12,4.435789326,1,16.6
91,3/18/15 18:33,11,4.195459872,1,34.2
92,3/18/15 18:39,10,3.19155221,1,30.4
93,3/18/15 18:45,9,2.362864202,1,13.6
94,3/18/15 18:51,8,3.320201613,1,45
96,3/18/15 19:03,12,4.354742419,1,16.6
97,3/18/15 19:09,11,4.18768035,1,34.2
98,3/18/15 19:15,10,3.185032189,1,30.4
99,3/18/15 19:21,9,2.289530001,1,13.6
100,3/18/15 19:27,8,3.32404896,1,45
102,3/18/15 19:39,12,4.285131031,1,16.6
103,3/18/15 19:45,11,4.180900508,1,34.2
104,3/18/15 19:51,10,3.179730544,1,30.4
105,3/18/15 19:57,9,2.236421328,1,13.6
106,3/18/15 20:03,8,3.304349593,1,45
108,3/18/15 20:15,12,4.244531294,1,16.6
109,3/18/15 20:21,11,4.139771549,1,34.2
110,3/18/15 20:27,10,3.161551534,1,30.4
111,3/18/15 20:33,9,2.209396116,1,13.6
112,3/18/15 20:39,8,3.316037435,1,45
114,3/18/15 20:51,12,4.184051907,1,16.6
115,3/18/15 20:57,11,4.146461659,1,34.2
116,3/18/15 21:03,10,3.147614679,1,30.4
117,3/18/15 21:09,9,2.16216462,1,13.6
118,3/18/15 21:15,8,3.296825527,1,45
120,3/18/15 21:27,12,4.134258086,1,16.6
121,3/18/15 21:33,11,4.1213036,1,34.2
122,3/18/15 21:39,10,3.151732354,1,30.4
123,3/18/15 21:45,9,2.112837619,1,13.6
124,3/18/15 21:51,8,3.309357011,1,45
126,3/18/15 22:03,12,4.104526751,1,16.6
127,3/18/15 22:09,11,4.11151414,1,34.2
128,3/18/15 22:15,10,3.140914467,1,30.4
129,3/18/15 22:21,9,2.076222017,1,13.6
130,3/18/15 22:27,8,3.310456831,1,45
132,3/18/15 22:39,12,4.074060843,1,16.6
133,3/18/15 22:45,11,4.138054345,1,34.2
134,3/18/15 22:51,10,3.142021783,1,30.4
135,3/18/15 22:57,9,2.02890702,1,13.6
136,3/18/15 23:03,8,3.302303659,1,45
138,3/18/15 23:15,12,4.004675575,1,16.6
139,3/18/15 23:21,11,4.114743716,1,34.2
140,3/18/15 23:27,10,3.135479251,1,30.4
141,3/18/15 23:33,9,1.989854213,1,13.6
142,3/18/15 23:39,8,3.29393462,1,45
144,3/18/15 23:51,12,3.958393616,1,16.6
145,3/18/15 23:57,11,4.124545677,1,34.2
146,3/19/15 0:03,10,3.12251951,1,30.4
147,3/19/15 0:09,9,1.910582661,1,13.6
148,3/19/15 0:15,8,3.312669577,1,45
